category,part_number,opening_stock,quantity_used,balance,side,part_name,cost_part,inclusive,truck_brand,shelf,store
,SACTQ06-24371,2,,2,#REF!,BRAKE DRUM ECO PLUS, R1 750.00 , R10 350.18 , BPW ,#REF!,#REF!
RIPPLE PLATE,YX050018,1,,1,#REF!,RIPPLE PLATE , R10 920.00 , R2 371.30 ,#VALUE!,#REF!,#REF!
WINDOW REGULATOR,S025541AG,1,,1,#REF!,WINDOW REGULATOR MANUAL, R942.44 ,#REF!, VOLVO ,#REF!,#REF!
,463383,1,,1,#REF!,WINDOW REGULATOR, R990.58 , R3 024.68 , MERC ,#REF!,#REF!
,463379,12,,1,#REF!,WINDOW REGULATOR, R2 971.69 , R2 012.50 , MERC ,#REF!,#REF!
5TH WHEEL PROTECTOR,S970008,5,,5,#VALUE!,5TH WHEEL PROTECTOR, R307.99 , R12 558.00 ,#VALUE!,#REF!,#REF!
5th WHEEL ,CJSK5DU,1,,1,#REF!,5th WHEEL , R12 500.00 , R1 083.81 , UESD MERCEDES ,#REF!,#REF!
,SACKJSK37C,1,,1,#REF!,5th WHEEL , R16 473.00 , R1 139.17 ,#VALUE!,#REF!,#REF!
CAB TANK,462816,1,,1,#REF!,REAR CAB SHOCK, R630.63 , R3 417.44 , VOLVO ,#REF!,#REF!
ROCKER BOX BUSH,SACTQ10015C,20,,20,#VALUE!,ROCKER BOX BUSH, R48.10 , R354.19 ,#VALUE!,#REF!,#REF!
WIPER BLADE,122668,5,,5,#REF!,WIPER BLADE, R269.01 , R14 375.00 ,#VALUE!,#REF!,#REF!
ROUND REFLECTOR RED ,SACTQ28044R,7,,7,#VALUE!,ROUND REFLECTOR RED , R11.99 , R18 943.95 ,#VALUE!,#REF!,#REF!
WHEEL CHOCK YELLOW,Q+CHOCK,10,,10,#REF!,WHEEL CHOCK YELLOW, R125.70 , R725.22 ,#VALUE!,#REF!,#REF!
EXHAUST GAS LINE,MA9604902652,1,,1,#VALUE!,EXHAUST GAS LINE, R8 109.46 , R55.32 ,#VALUE!,#REF!,#REF!
MUDGUARDBOSS PIPE BETA CLAMP,SACTRAIL,,,#VALUE!,#VALUE!,#REF!,#REF!, R309.36 ,#VALUE!,#REF!,#REF!
BUMBER,S050009AG,1,,1,DAF,BUMBERFRONT , R1 995.98 , R13.79 ,#VALUE!,#REF!,#REF!
CAP,GFL-BZ94-VO,8,,8,NA, FUEL CAP , R215.00 , R144.56 ,#VALUE!,2(4),USED
,545243,2,,#VALUE!,N/A, CAP ,#REF!, R9 325.88 ,#VALUE!,2(3),A
,,,,,, LAMPS ,,,,,
LAMPS,BZ94222-2,14,5,9,R/H,SIDE INDICATOR, R245.00 , R2 295.38 ,ACTROS,1(2,A
LAMPS,BZ94222-1,0,0,#VALUE!,L/H,SIDE INDICATOR, R245.00 , R247.25 ,ACTROS,,
LAMPS,SACELEC008B,60,,60,#REF!,7 CORE CABLE, R39.24 ,#REF!,#VALUE!,#REF!,#REF!
LAMPS,DF96201-1,1,,#VALUE!,#REF!,HEAD LAMP, R2 450.00 , R-   , DAF ,1(4),A
LAMPS,S970050,3,1,2,N/A,SPOT LAMP, R2 451.95 , R281.75 , MULTI ,2(1),A
LAMPS,ZZ-TLED-KWHT,40,,40,N/A,REVERSE LAMP , R169.00 , R281.75 ,#VALUE!,2(3),A
LAMPS,HSR-24VO-W5W,180,,180,#VALUE!,PARK GLOBE, R6.00 , R45.13 ,#VALUE!,2(3),A
LAMPS,HSR-24VO-H7,35,,35,N/A,LAMP GLOBE, R65.00 , R2 817.50 ,#VALUE!,3(3),A
LAMPS,ZZ-TLED-KRED,60,,60,N/A,RED LAMP, R149.00 , R2 819.74 ,#VALUE!,2(4),A
LAMPS,ZZ-TLED-SMSA,20,,20,#VALUE!,SALOR SIDE MARKER LAMP AMBER, R245.00 , R194.35 ,#VALUE!,#REF!,#REF!
